building_id,site_id,sqm,primaryspaceusage,yearbuilt,region,country
Panther_lodging_Dean,Panther,508.8,Lodging/residential,1989,"Orlando, Florida",United States of America
Panther_lodging_Shelia,Panther,929.0,Lodging/residential,1992,"Orlando, Florida",United States of America
Panther_lodging_Ricky,Panther,483.1,Lodging/residential,2016,"Orlando, Florida",United States of America
Panther_education_Rosalie,Panther,690.5,Education,2008,"Orlando, Florida",United States of America
Panther_education_Misty,Panther,252.7,Education,2004,"Orlando, Florida",United States of America
Panther_office_Daina,Panther,133.8,Office,1983,"Orlando, Florida",United States of America
Panther_education_Mattie,Panther,499.4,Education,1991,"Orlando, Florida",United States of America
Panther_office_Woodrow,Panther,537.8,Office,1996,"Orlando, Florida",United States of America
Panther_education_Diann,Panther,2200.4,Education,2002,"Orlando, Florida",United States of America
Panther_education_Gina,Panther,10833.1,Education,1975,"Orlando, Florida",United States of America
Panther_education_Tina,Panther,743.2,Education,2000,"Orlando, Florida",United States of America
Panther_lodging_Russell,Panther,2594.4,Lodging/residential,1981,"Orlando, Florida",United States of America
Panther_education_Guillermina,Panther,2064.3,Education,2002,"Orlando, Florida",United States of America
Panther_lodging_Amos,Panther,1337.2,Lodging/residential,1997,"Orlando, Florida",United States of America
Panther_education_Vincent,Panther,11248.1,Education,1989,"Orlando, Florida",United States of America
Panther_education_Shelton,Panther,5649.3,Education,2003,"Orlando, Florida",United States of America
Panther_office_Karla,Panther,2508.4,Office,2010,"Orlando, Florida",United States of America
Panther_assembly_Denice,Panther,34445.9,Entertainment/public assembly,1991,"Orlando, Florida",United States of America
Panther_education_Sophia,Panther,4559.0,Education,1968,"Orlando, Florida",United States of America
Panther_lodging_Bonnie,Panther,1290.4,Lodging/residential,2013,"Orlando, Florida",United States of America
Panther_lodging_Willa,Panther,3446.7,Lodging/residential,1999,"Orlando, Florida",United States of America
Panther_education_Annetta,Panther,9232.7,Education,2000,"Orlando, Florida",United States of America
Panther_education_Aurora,Panther,8012.9,Education,2013,"Orlando, Florida",United States of America
Panther_office_Graham,Panther,7799.9,Office,1974,"Orlando, Florida",United States of America
Panther_education_Karri,Panther,5076.6,Education,1996,"Orlando, Florida",United States of America
Panther_office_Valarie,Panther,1416.8,Office,1980,"Orlando, Florida",United States of America
Panther_education_Richard,Panther,534.3,Education,1976,"Orlando, Florida",United States of America
Panther_education_Hugh,Panther,10395.0,Education,1996,"Orlando, Florida",United States of America
Panther_lodging_Arlene,Panther,879.8,Lodging/residential,1988,"Orlando, Florida",United States of America
Panther_office_Larry,Panther,1738.9,Office,2004,"Orlando, Florida",United States of America
Panther_education_Lacey,Panther,337.0,Education,1995,"Orlando, Florida",United States of America
Panther_education_Mohammad,Panther,10244.6,Education,1977,"Orlando, Florida",United States of America
Panther_office_Jeane,Panther,654.3,Office,1990,"Orlando, Florida",United States of America
Panther_education_Jonathan,Panther,331.6,Education,1996,"Orlando, Florida",United States of America
Panther_education_Genevieve,Panther,12159.6,Education,1985,"Orlando, Florida",United States of America
Panther_education_Alecia,Panther,9805.4,Education,2001,"Orlando, Florida",United States of America
Panther_office_Jesus,Panther,9595.6,Office,1969,"Orlando, Florida",United States of America
Panther_office_Catherine,Panther,2504.0,Office,2005,"Orlando, Florida",United States of America
Panther_lodging_Awilda,Panther,5499.9,Lodging/residential,1999,"Orlando, Florida",United States of America
Panther_lodging_Aaron,Panther,526.0,Lodging/residential,2013,"Orlando, Florida",United States of America
Panther_office_Garth,Panther,4919.9,Office,2016,"Orlando, Florida",United States of America
Panther_education_Quintin,Panther,10578.5,Education,2006,"Orlando, Florida",United States of America
